street,city,state,postal_code,latitude,longitude
9851 S 71st Plz,Papillion,NE,68133,41.163717862202,-96.022294300666
17701 Evans St,Omaha,NE,68116,,
"848 Cornhusker Road, Suite 101",Bellevue,NE,68123,41.157524155751,-95.929347283614
2303 N 90th Street,Omaha,NE,68134,41.279696446907,-96.052473888126
4457 N 72nd St,Omaha,NE,68134,41.299235763699,-96.023794904054
"14919 W Maple Rd, Ste 104",Omaha,NE,68116,41.292060812114,-96.146081546052
"17392 W Center Rd, Ste 108",Omaha,NE,68130,41.234180064105,-96.187319234411
"2012 Cornhusker Rd, Ste 200",Bellevue,NE,68123,41.159085018466,-95.941493903851
135 S 48th Street,Lincoln,NE,68510,40.813074000123,-96.653851161877
5310 O St,Lincoln,NE,68510,40.813554434349,-96.647515520535
"2820 Pine Lake Road, Suite #3",Lincoln,NE,68516,40.739640354667,-96.681175324936
1620 Pine Lake Rd,Lincoln,NE,68512,40.738548480324,-96.698492800216
4900 N 27th St,Lincoln,NE,68521,40.859158907798,-96.68188924339
8480 Andermatt Dr,Lincoln,NE,68526,40.736063330467,-96.603670192682
"2662 Cornhusker Hwy, Ste 12",Lincoln,NE,68521,40.842665486123,-96.683471300296
"2711 King Ln, #203",Lincoln,NE,68521,40.855345563739,-96.681880971177
"3537 W 13th St, Ste 106",Grand Island,NE,68803,40.931459308245,-98.387069509956
1510 N Diers Ave,Grand Island,NE,68803,40.934203508496,-98.383939010716
"2250 N Webb Rd, Ste 216",Grand Island,NE,68803,40.942722115903,-98.37876572171
"1300 S Locust, Ste C",Grand Island,NE,68801,40.908345750059,-98.339875468196
"4105 2nd Ave, Ste 2",Kearney,NE,68847,40.714790825598,-99.083885625115
"5306 2nd Ave, Ste C",Kearney,NE,68847,40.726578447709,-99.083866582753
"3714 Cimarron Ave, Ste 220",Hastings,NE,68901,40.62142050788,-98.384467186806
2100 Market Lane,Norfolk,NE,68701,,
"700 S 13th St, Ste 100",Norfolk,NE,68701,42.025777101385,-97.426598167728
2280 33rd Ave,Columbus,NE,68601,41.438562185387,-97.36838451225
"3410 Avenue I, Spc A1",Scottsbluff,NE,69361,41.879871957409,-103.675662894586
"418 E Leota Street, Ste 1A",North Platte,NE,69101,41.120450642009,-100.760451337317
"2700 E 23rd Ave N, Ste 1",Fremont,NE,68025,41.451639888332,-96.461549561833
"3220 E Elk Lane, #100",Fremont,NE,68025,41.450320825409,-96.455871329195
"3791 Las Vegas Blvd South, #1300",Las Vegas,NV,89109,36.102770035065,-115.172889385214
"1150 E Flamingo Rd, Suite 100",Las Vegas,NV,89119,36.114724076222,-115.138947733171
2090 N Rainbow Blvd,Las Vegas,NV,89108,36.197447862842,-115.241900533532
"6925 S Rainbow Blvd, Ste 105",Las Vegas,NV,89118,36.062923279091,-115.242502286827
"11035 Lavender Hill Dr, Ste 190",Las Vegas,NV,89135,36.145452680836,-115.334075443918
